Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T15:45:00.000Z,"6,454.67","6,454.76","6,453.81","6,453.81",-0.0129,-0.0133,37
2025-08-29T15:46:00.000Z,"6,453.71","6,454.75","6,453.52","6,453.89",0.0012,0.0008,45
2025-08-29T15:47:00.000Z,"6,453.94","6,455.05","6,453.49","6,453.56",-0.0051,-0.0055,32
2025-08-29T15:48:00.000Z,"6,453.42","6,453.95","6,453.32","6,453.41",-0.0023,-0.0027,33
2025-08-29T15:49:00.000Z,"6,453.51","6,454.04","6,452.91","6,453.23",-0.0028,-0.0032,32
2025-08-29T15:50:00.000Z,"6,453.15","6,453.15","6,450.55","6,450.76",-0.0383,-0.0387,43
2025-08-29T15:51:00.000Z,"6,450.78","6,452.02","6,450.78","6,451.76",0.0155,0.0151,33
2025-08-29T15:52:00.000Z,"6,451.74","6,453.84","6,451.49","6,452.93",0.0181,0.0177,34
2025-08-29T15:53:00.000Z,"6,452.88","6,452.88","6,451.23","6,451.23",-0.0263,-0.0268,35
2025-08-29T15:54:00.000Z,"6,451.11","6,452.08","6,451.11","6,451.95",0.0112,0.0108,31
2025-08-29T15:55:00.000Z,"6,451.98","6,453.25","6,451.60","6,453.25",0.0201,0.0197,52
2025-08-29T15:56:00.000Z,"6,453.17","6,453.37","6,452.15","6,452.17",-0.0167,-0.0171,35
2025-08-29T15:57:00.000Z,"6,452.13","6,453.34","6,451.75","6,452.63",0.0071,0.0067,31
2025-08-29T15:58:00.000Z,"6,452.61","6,452.73","6,450.56","6,450.56",-0.0321,-0.0325,40
2025-08-29T15:59:00.000Z,"6,450.54","6,451.30","6,450.28","6,451.30",0.0115,0.0111,35
2025-08-29T16:00:00.000Z,"6,451.31","6,453.26","6,450.95","6,453.22",0.0298,0.0294,35
2025-08-29T16:01:00.000Z,"6,452.96","6,454.32","6,452.58","6,454.14",0.0143,0.0138,44
2025-08-29T16:02:00.000Z,"6,454.15","6,455.56","6,454.01","6,455.30",0.018,0.0176,31
2025-08-29T16:03:00.000Z,"6,455.31","6,455.90","6,454.95","6,455.87",0.0088,0.0084,30
2025-08-29T16:04:00.000Z,"6,455.84","6,457.13","6,455.59","6,456.61",0.0115,0.0111,34
2025-08-29T16:05:00.000Z,"6,456.60","6,456.60","6,453.54","6,453.54",-0.0475,-0.048,34
2025-08-29T16:06:00.000Z,"6,453.56","6,454.91","6,453.55","6,454.91",0.0212,0.0208,36
2025-08-29T16:07:00.000Z,"6,454.93","6,456.54","6,454.71","6,456.37",0.0226,0.0222,35
2025-08-29T16:08:00.000Z,"6,456.22","6,456.82","6,455.62","6,456.76",0.006,0.0056,39
2025-08-29T16:09:00.000Z,"6,456.72","6,456.98","6,456.44","6,456.88",0.0019,0.0015,35
2025-08-29T16:10:00.000Z,"6,456.77","6,457.37","6,456.17","6,457.32",0.0068,0.0064,37
2025-08-29T16:11:00.000Z,"6,457.36","6,458.08","6,457.31","6,457.67",0.0054,0.005,33
2025-08-29T16:12:00.000Z,"6,457.48","6,458.56","6,457.39","6,458.53",0.0133,0.0129,34
2025-08-29T16:13:00.000Z,"6,458.54","6,459.34","6,458.34","6,459.26",0.0113,0.0109,38
2025-08-29T16:14:00.000Z,"6,459.25","6,459.29","6,458.11","6,458.67",-0.0091,-0.0095,30
